Event ID,Name/Epicenter,Date,Lat,Lon,Mag
73472891,"10 km (6.25 mi) ESE of Willits, CA",2020-10-19,39.36,-123.25,3.4
73472896,"11 km (6.875 mi) ESE of Willits, CA",2020-10-19,39.37,-123.24,3.8
39667688,"23 km (14.375 mi) NW of Ludlow, CA",2020-10-18,34.86,-116.34,3.5
39666952,"12 km (7.5 mi) N of Delta, B.C., MX",2020-10-18,32.46,-115.18,3.5
73470856,"2 km (1.25 mi) ENE of Lopez Point, CA",2020-10-14,36.03,-121.54,3.5
73468941,"30 km (18.75 mi) NNE of Redway, CA",2020-10-09,40.38,-123.73,3.7
39654952,"10 km (6.25 mi) N of Big Bear City, CA",2020-10-06,34.35,-116.83,3.4
73466321,"11 km (6.875 mi) ESE of Willits, CA",2020-10-03,39.36,-123.25,3.5
39651784,"4 km (2.5 mi) ESE of Westmorland, CA",2020-10-03,33.02,-115.59,3.6
39649056,"5 km (3.125 mi) ENE of Westmorland, CA",2020-10-01,33.06,-115.57,3.7
39649048,"6 km (3.75 mi) NE of Westmorland, CA",2020-10-01,33.07,-115.57,3.7
39647856,"4 km (2.5 mi) ENE of Westmorland, CA",2020-10-01,33.06,-115.58,3.9
39646376,"5 km (3.125 mi) NE of Westmorland, CA",2020-10-01,33.06,-115.58,3.6
39644616,"4 km (2.5 mi) NE of Westmorland, CA",2020-09-30,33.06,-115.6,3.5
39643360,"4 km (2.5 mi) NNE of Westmorland, CA",2020-09-30,33.07,-115.6,3.7
39643328,"4 km (2.5 mi) NE of Westmorland, CA",2020-09-30,33.07,-115.6,4.5
39643288,"4 km (2.5 mi) NNE of Westmorland, CA",2020-09-30,33.07,-115.6,3.4
39643256,"6 km (3.75 mi) NNE of Westmorland, CA",2020-09-30,33.08,-115.59,3.5
39642320,"4 km (2.5 mi) NE of Westmorland, CA",2020-09-30,33.07,-115.59,3.5
39641968,"4 km (2.5 mi) NE of Westmorland, CA",2020-09-30,33.06,-115.59,3.5
39641888,"4 km (2.5 mi) E of Westmorland, CA",2020-09-30,33.04,-115.58,3.6
39641880,"3 km (1.875 mi) ENE of Westmorland, CA",2020-09-30,33.04,-115.59,4.1
39641768,"4 km (2.5 mi) NE of Westmorland, CA",2020-09-30,33.06,-115.59,4.1
37456517,"8 km (5 mi) WSW of Westmorland, CA",2020-09-30,33.01,-115.7,3.8
39641616,"4 km (2.5 mi) NNE of Westmorland, CA",2020-09-30,33.07,-115.6,4.2
37456501,"8 km (5 mi) WSW of Westmorland, CA",2020-09-30,33.02,-115.7,3.8
39641544,"3 km (1.875 mi) ENE of Westmorland, CA",2020-09-30,33.05,-115.59,3.9
39641528,"4 km (2.5 mi) NE of Westmorland, CA",2020-09-30,33.06,-115.59,4.9
39641288,"4 km (2.5 mi) ENE of Westmorland, CA",2020-09-30,33.05,-115.58,3.7
39641072,"3 km (1.875 mi) ENE of Westmorland, CA",2020-09-30,33.05,-115.6,3.4
39641064,"3 km (1.875 mi) NE of Westmorland, CA",2020-09-30,33.05,-115.59,4.3
39640528,"3 km (1.875 mi) ENE of Westmorland, CA",2020-09-30,33.05,-115.59,3.6
73463746,"10 km (6.25 mi) NE of Milpitas, CA",2020-09-27,37.49,-121.83,3.5
38703802,"10 km (6.25 mi) E of Desert Hot Springs, CA",2020-09-25,33.95,-116.4,3.6
38695658,"3 km (1.875 mi) WSW of South El Monte, CA",2020-09-18,34.04,-118.08,4.5
38683938,"17 km (10.625 mi) N of Olancha, CA",2020-09-11,36.44,-117.99,3.6
38683914,"18 km (11.25 mi) SSE of Lone Pine, CA",2020-09-11,36.44,-117.99,4.2
38678266,"5 km (3.125 mi) SSE of Santa Ynez, CA",2020-09-05,34.57,-120.05,3.8
39368535,"16 km (10 mi) E of Coso Junction, CA",2020-09-02,36.04,-117.77,3.5
39363095,"10 km (6.25 mi) W of Progreso, B.C., MX",2020-08-28,32.57,-115.69,3.6
73450161,"10 km (6.25 mi) NNW of Redwood Valley, CA",2020-08-27,39.35,-123.24,3.5
39587168,"15 km (9.375 mi) SSW of Searles Valley, CA",2020-08-21,35.64,-117.46,3.6
39584648,"36 km (22.5 mi) WSW of Stovepipe Wells, CA",2020-08-19,36.48,-117.51,4.8
73446411,"11 km (6.875 mi) ESE of Willits, CA",2020-08-18,39.36,-123.25,3.9
73446381,"11 km (6.875 mi) NNW of Redwood Valley, CA",2020-08-18,39.36,-123.25,3.3
73446356,"11 km (6.875 mi) ESE of Willits, CA",2020-08-18,39.36,-123.25,4.2
73447140,"10 km (6.25 mi) NE of Milpitas, CA",2020-08-17,37.49,-121.83,3.5
39347695,"87 km (54.375 mi) ESE of Maneadero, B.C., MX",2020-08-17,31.55,-115.67,4.1
39347679,"88 km (55 mi) ESE of Maneadero, B.C., MX",2020-08-17,31.54,-115.66,5.1
73443355,"1 km (0.625 mi) NNE of The Geysers, CA",2020-08-12,38.79,-122.75,3.9
39340599,"14 km (8.75 mi) SSE of Bombay Beach, CA",2020-08-11,33.23,-115.7,3.5
