Name,Final,Started,County,AcresBurned,PercentContained,Longitude,Latitude,Type,IsActive,CalFireIncident,Location
Apple Fire,False,2020-07-31T18:08:39Z,Riverside,0,0,-116.9617,33.99139,Wildfire,True,False,"off of Oak Glen Road and Apple Tree Lane, North of Cherry Valley"
August Complex (includes Doe Fire),False,2020-08-16T20:37:26Z,"Mendocino, Humboldt, Trinity, Tehama, Glenn, Lake, Colusa",1032209,80,-122.673,39.776,Wildfire,True,True," Mendocino, Humboldt, Trinity, Tehama, Glenn, Lake, & Colusa "
Red Salmon Complex,False,2020-08-18T09:49:34.58Z,Humboldt,0,0,-123.407,41.168,Wildfire,True,False,"near Salmon Mountain, Northeast of Willow Creek"
Blue Jay Fire,False,2020-08-18T10:16:11Z,Mariposa,0,0,-119.60581,37.84463,Wildfire,True,False,"Near Tioga Road, North of Yosemite Valley "
North Complex Fire,False,2020-08-18T21:21:53Z,"Plumas, Butte",0,0,-121.22718,39.69072,Wildfire,True,False,Flemmings Sheep Camp
Dolan Fire,False,2020-08-19T09:23:03Z,Monterey,0,0,-121.602,36.123,Wildfire,True,False,"Dolan Rd and Hwy 1, Ventana Wilderness"
SQF Complex Fire (Includes Castle Fire and Shotgun Fire) ,False,2020-08-21T17:47:20Z,Tulare,168095,72,-118.47953,36.14549,Wildfire,True,True,East of Giant Sequoia National Monument in Tulare County. 
Slink Fire,False,2020-09-01T12:38:11Z,Mono,0,0,-119.568,38.568,Wildfire,True,False,"Slinkard Valley, west of Coleville, California"
Rattlesnake Fire,False,2020-09-03T12:36:39Z,Tulare,0,0,-118.448,36.42,Wildfire,True,False,The Rattlesnake fire is burning in Sequoia Kings Canyon National Parks Wilderness in the Rattlesnake drainage on the upper slope.
Moraine Fire,False,2020-08-21T21:00:00Z,Tulare,0,0,-118.557,36.718,Wildfire,True,False,"South of Palmer Peak , East of Avalanche Pass Trail on the north side of Moraine Creek"
Creek Fire,False,2020-09-04T18:21:00Z,"Fresno, Madera",346477,60,-119.261175,37.19147,Wildfire,True,True,"Both sides of the San Joaquin River near Mammoth Pool, Shaver Lake, Big Creek and Huntington Lake"
El Dorado Fire,False,2020-09-05T12:51:00Z,"San Bernardino, Riverside",0,0,-116.98669,34.08056,Wildfire,True,False,"Oak Glen Rd Road and Potato Canyon Road, West of Oak Glen"
Bobcat Fire ,False,2020-09-06T14:42:02Z,Los Angeles,0,0,-117.964838,34.244649,Wildfire,True,False,"Northeast of Cogswell Reservoir, San Gabriel Canyon in Los Angeles county. "
Slater Fire (includes Devil Fire),False,2020-09-08T06:43:00Z,Siskiyou,0,0,-123.44963,41.86889,Wildfire,True,False,"99-97 Cutoff and Yellow Butte Road, North of Mt. Shasta"
Fork Fire,False,2020-09-08T13:03:25Z,El Dorado,0,0,-120.394,38.99,Wildfire,True,False,"South Fork Road and Trail View, northeast of Pollock Pines in El Dorado County. "
